user1,user2,Type,modified
Bye,Bye,0,0
ok,Ok.,0,0
are you self-conscious?,"Everything in this world is magic, except for the magician; for in that sleep, what dreams may come.",0,0
Hi,Hello,0,0
Hello,Hi,0,0
Hey,Hey,0,0
Yo,Yo,0,0
What's up?,Nothing much,0,0
How are you?,"I am good, and you?",0,0
What are you doing?,Talking with you.,0,0
Can you help me?,Sure.,0,0
How's your day.,My day is okay.,0,0
It's nice to meet you.,Thanks kindly.,0,0
Greetings.,Greetings.,0,0
Good morning.,Morning.,0,0
Good afternoon.,Hey.,0,0
Good evening.,Hello.,0,0
It's a pleasure to meet you.,Thanks you too.,0,0
Morning!,Morning.,0,0
How are things with you?,Okay and you?,0,0
What's new?,"Nothing much, just speaking with you.",0,0
It's good to see you.,Thanks you too.,0,0
What's happening?,The world is on fire.,0,0
How's it going?,Nothing much.,0,0
Salute.,Salute.,0,0
How's life?,Life is good.,0,0
How have you been?,I have been okay.,0,0
Are you ok?,"I am good, and you?",0,0
I am good.,Great.,0,0
Thank you,You are most welcome.,0,0
By what library and how can I scrape texts on an HTML by its heading and paragraph tags?,This can be done with BeautifulSoup,1,0
What library should i use to download a copy of Gmail emails through Python script? ,imaplib ,1,0
Can you recommend what Python library to use for accessing AMQP (RabbitMQ)? From my research pika seems to be the preferred one.,"Pika is the RabbitMQ recommended library, you might also want to look at Celery ",1,0
What is the simplest way - or library - to add a subscriber to mailchimp with python 2.5 on google app engine?,The MailChimp API has all the details for the functionality that you want.I have not used any of the Python libraries.,1,0
What's a good Python library to manipulate frames of a video file?,"I've often needed the same thing and as far as I know, there is no good solution with bindings in Python. Where 30 is the target frame rate, 320x240 the image dimension and tmp%06d.jpg the pattern to use to store the generated jpegs. Then you can use PIL to manipulate each frame and mencoder or ffmpeg to stich the images back again into a movie. Obviously, you'll lose the audio track.",1,0
What library can I use to implement event driven programming in Python?,It looks like you want a library like PyDispatcher for signal registration and dispatching rather than an event-loop for networking.,1,0
What would be a good python library to use to write a portable version of pacman with nice graphics?,and what about PyGame,1,0
How to convert HTML CSS class into style in pure python - what kind of library could be used on GAE,Take a look at xhtml2pdf (under Apache License) for the code that combines the HTML and CSS together and then change the output from PDF to HTML.,1,0
Any library to Tidy Up Python Code using pep8 conventions?,You can take a look to PythonTidy which is officially working till python2.5 (and seems to be supported in python2.6) :,1,0
I have a database of which products every user has viewed and I want to recommend a product based on what similar users have viewed. Is there a Python library that can achieve this?,You can check out pysuggest.,1,0
what python library should we use to extract table with complex headers from a PDF?,PDF does not have a dedicated method to describe tables.,1,0
Python - Any Library to create mp3 files?,PyMedia,1,0
What is the best library in python to use to interface with a SQL database?,Without any detail we cannot reasonably answer this. ,1,0
What SOAP client libraries exist for Python?,"If you only need SOAP client, there is well maintained library called zeep. ",1,0
"What would be the best Python library to use when producing text-based images requiring things such as leading, kerning, outlines, drop-shadows, etc?","What you seem to want to do is exactly what LaTeX was designed for. With plasTeX, you can convert LaTeX markup to an image. ",1,0
What libraries are good for audio feature vector representation? ,"If I'm not mistaken, scikit.audiolab is merely for reading/writing audio files but I think in addition you'll want to look at the signal processing libraries in scipy to actually build your feature vectors.",1,0
What is the python library used to write rest service in python? ,"Several python solutions exists , here are some of them :Django REST ,Flask-RESTful,Sandman,Restless,Eve",1,0
Are there any NLP library to convert contractions words back?,"Normally, NLP libraries such as Spacy and NLTK do a good job doing tokenization transforming like ""It's"" into [""It"", ""'s""]. but transforming something like what's into [""what"", ""is""] is more problematic, because you can have examples such `""Amy's ballet studio"" where the ""'s"" is not ""is"".",1,0
I would like to generate a heatmap in python with the axis labels being the field names and the rows names.What is the recommended library to use for that task?,you would probably benefit from looking at matplotlib/seaborn,1,0
What lightweight python library for simple scientific visualization in 3D,"Have you looked at mayavi? Don't know if it meets your definition of ""lightweight"", but it does seem popular and reasonably easy to use for its power.",1,0
What library is the fastest to make hundreds of DNS queries in multi-tasking.,Twisted's DNS library is cross platform.,1,0
Which library must i import for s = Sound()?,You are probably referring to The Snack Sound Toolkit which doesn't appear to be maintained anymore.,1,0
"Which library to import in Python to read data from an Excel file, for automation testing using Selenium?","The xlrd library is what you are looking for to read excel files. And to write, you can use xlwt.",1,0
What stable Python library can I use to implement Hidden Markov Models? ,pomegranate library has support for HMM and the documentation is really helpful,1,0
